iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
3,30,factuals_only,bge_large,-,20,50,50,0,0.75,0.5985644740654883,0.7487638213180009,0.5940217424073415,0.6448969925481975
4,40,factuals_only,bge_large,-,20,60,60,0,0.7302631578947368,0.5882131661442006,0.7288978716383435,0.5892957042957043,0.6343706767587238
5,50,factuals_only,bge_large,-,20,70,70,0,0.7236842105263158,0.5781080632473822,0.7209312908860733,0.5812857673727239,0.6206985654459591
6,60,factuals_only,bge_large,-,20,70,70,0,0.7236842105263158,0.5781080632473822,0.7209312908860733,0.5812857673727239,0.6206985654459591
1,10,full,bge_large,mixed,20,35,30,5,0.7236842105263158,0.5818810365916116,0.7200873576484608,0.5819967972406997,0.6350764642158725
2,20,full,bge_large,mixed,20,48,40,8,0.7171052631578947,0.5797290640394089,0.7142001015469709,0.5821271321271321,0.6338130812194882
3,30,full,bge_large,mixed,20,60,50,10,0.743421052631579,0.5928789055668228,0.7421218911011991,0.5955633255633256,0.6357550518906194
4,40,full,bge_large,mixed,20,73,60,13,0.743421052631579,0.5964656793385397,0.741895751307478,0.5993512043512043,0.6391428316849327
5,50,full,bge_large,mixed,20,87,70,17,0.7368421052631579,0.5919202247930851,0.7354663254701574,0.5949067599067599,0.634491668894235
6,60,full,bge_large,mixed,20,87,70,17,0.7368421052631579,0.5919202247930851,0.7354663254701574,0.5949067599067599,0.634491668894235
1,10,full,bge_large,factual_anchored,20,35,30,5,0.7302631578947368,0.5869378212123614,0.7237187543417916,0.5837328130806392,0.6397276270065702
2,20,full,bge_large,factual_anchored,20,48,40,8,0.7171052631578947,0.5797290640394089,0.7142001015469709,0.5821271321271321,0.6338130812194882
3,30,full,bge_large,factual_anchored,20,60,50,10,0.75,0.599263145442716,0.7478835339146352,0.6025064599483205,0.6468661630017305
4,40,full,bge_large,factual_anchored,20,73,60,13,0.743421052631579,0.5964656793385397,0.741895751307478,0.5993512043512043,0.6391428316849327
5,50,full,bge_large,factual_anchored,20,87,70,17,0.7368421052631579,0.5919202247930851,0.7354663254701574,0.5949067599067599,0.634491668894235
6,60,full,bge_large,factual_anchored,20,87,70,17,0.7368421052631579,0.5919202247930851,0.7354663254701574,0.5949067599067599,0.634491668894235
