iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
5,50,factuals_only,contriever,-,20,86,86,0,0.879245283018868,0.7939953777909445,0.8976065620692383,0.8145193477188446,0.7826889252603906
5,50,factuals_only,contriever,-,20,86,86,0,0.879245283018868,0.7939953777909445,0.8976065620692383,0.8145193477188446,0.7826889252603906
6,60,factuals_only,contriever,-,20,96,96,0,0.8943396226415095,0.8008206998347478,0.9101870027690572,0.8141305232757439,0.793037588417755
6,60,factuals_only,contriever,-,20,96,96,0,0.8905660377358491,0.7971345782086781,0.9058661052073546,0.8106812981909731,0.7902656396881722
7,70,factuals_only,contriever,-,20,106,106,0,0.9132075471698113,0.8238387750337548,0.9334721592306646,0.8437605545621849,0.8088799286433188
7,70,factuals_only,contriever,-,20,106,106,0,0.9056603773584906,0.818163636249144,0.9269628802366792,0.8382546021812326,0.8035997562295256
8,80,factuals_only,contriever,-,20,116,116,0,0.9245283018867925,0.8261324709212007,0.938193796084377,0.8379631503732367,0.820067097007666
8,80,factuals_only,contriever,-,20,116,116,0,0.9245283018867925,0.8291086613973911,0.9399907412775486,0.8436449685550549,0.820067097007666
9,90,factuals_only,contriever,-,20,126,126,0,0.9471698113207547,0.8407627290268997,0.9568297505410315,0.8502289630585776,0.8337142912676789
9,90,factuals_only,contriever,-,20,126,126,0,0.9433962264150944,0.8394020613926472,0.9544472985323781,0.8501157384208965,0.8315591188538858
10,100,factuals_only,contriever,-,20,136,136,0,0.9584905660377359,0.900193783010873,0.9617655604294382,0.9046320569661693,0.8983665404140034
10,100,factuals_only,contriever,-,20,136,136,0,0.9584905660377359,0.900193783010873,0.9617655604294382,0.9046320569661693,0.8983665404140034
11,110,factuals_only,contriever,-,20,136,136,0,0.9584905660377359,0.900193783010873,0.9617655604294382,0.9046320569661693,0.8983665404140034
11,110,factuals_only,contriever,-,20,136,136,0,0.9584905660377359,0.900193783010873,0.9617655604294382,0.9046320569661693,0.8983665404140034
1,10,full,contriever,mixed,20,46,46,0,0.8377358490566038,0.7635569571467524,0.8584855907019878,0.7941620049636354,0.7496322553636172
2,20,full,contriever,mixed,20,56,56,0,0.8452830188679246,0.7681370411973337,0.8665078219209817,0.7991151247605052,0.7538773162213461
3,30,full,contriever,mixed,20,66,66,0,0.8528301886792453,0.7702967482942715,0.8738791367567256,0.7968240450317656,0.7566920524981657
4,40,full,contriever,mixed,20,76,76,0,0.8603773584905661,0.7777709722273753,0.8798238595362234,0.8022205582407789,0.7644591674963389
5,50,full,contriever,mixed,20,90,86,4,0.8830188679245283,0.8001086513371022,0.9032404104029776,0.8243941015733778,0.7849210681175334
6,60,full,contriever,mixed,20,102,96,6,0.8905660377358491,0.8004637899363463,0.9073250263006217,0.8186104794460772,0.7894843896881723
7,70,full,contriever,mixed,20,112,106,6,0.909433962264151,0.8135514392183969,0.9248414431245636,0.8269777713731518,0.8042336304688765
8,80,full,contriever,mixed,20,124,116,8,0.9245283018867925,0.827056362759201,0.9379693113196095,0.8402612539581049,0.8186227692765735
9,90,full,contriever,mixed,20,134,126,8,0.939622641509434,0.8327313731096178,0.9468333985178575,0.840502525546814,0.8282696451696752
10,100,full,contriever,mixed,20,145,136,9,0.9622641509433962,0.9021297895027752,0.963649173589976,0.9052656766854668,0.9012650911386412
11,110,full,contriever,mixed,20,145,136,9,0.9584905660377359,0.8983231256961114,0.9597708478248578,0.9015619729817631,0.8977563192088166
1,10,full,contriever,factual_anchored,20,46,46,0,0.8377358490566038,0.7590204151102105,0.8550763552172806,0.78765947971111,0.7492452584595923
2,20,full,contriever,factual_anchored,20,56,56,0,0.8528301886792453,0.7726283831886757,0.8722057717698751,0.8020913152366956,0.7597197075256941
