iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
8,80,full,bm25,factual_anchored,20,145,101,44,0.8333333333333334,0.8367456197274498,0.8367456197274498,0.8497067448680351,0.8333333333333334
9,90,full,bm25,factual_anchored,20,164,111,53,0.8333333333333334,0.8355930139699116,0.8355930139699116,0.8405122655122655,0.8333333333333334
10,100,full,bm25,factual_anchored,20,180,121,59,0.8148148148148148,0.8171592483965578,0.8171592483965577,0.8220779220779221,0.8148148148148149
11,110,full,bm25,factual_anchored,20,180,121,59,0.8055555555555556,0.8084697910784868,0.8084697910784868,0.8149863049432633,0.8055555555555555
1,10,factuals_only,contriever,-,20,31,31,0,0.7870370370370371,0.7895985293245568,0.7895985293245567,0.7987914744012304,0.7870370370370371
1,10,factuals_only,contriever,-,20,31,31,0,0.7777777777777778,0.7800767274451484,0.7800767274451486,0.7885964912280702,0.7777777777777778
2,20,factuals_only,contriever,-,20,41,41,0,0.8148148148148148,0.8181106026386665,0.8181106026386665,0.8277009728622632,0.8148148148148149
2,20,factuals_only,contriever,-,20,41,41,0,0.8055555555555556,0.8078364932096275,0.8078364932096276,0.8145270123198816,0.8055555555555557
3,30,factuals_only,contriever,-,20,51,51,0,0.7870370370370371,0.7894216731770133,0.7894216731770132,0.7963455390874746,0.7870370370370371
3,30,factuals_only,contriever,-,20,51,51,0,0.7870370370370371,0.7894216731770133,0.7894216731770132,0.7963455390874746,0.7870370370370371
4,40,factuals_only,contriever,-,20,61,61,0,0.8148148148148148,0.8170155567415841,0.8170155567415841,0.8261627481139676,0.8148148148148149
4,40,factuals_only,contriever,-,20,61,61,0,0.8333333333333334,0.834805985490917,0.8348059854909169,0.8433018384237897,0.8333333333333334
5,50,factuals_only,contriever,-,20,71,71,0,0.7962962962962963,0.7985540932683376,0.7985540932683374,0.8053545480964835,0.7962962962962963
5,50,factuals_only,contriever,-,20,71,71,0,0.7962962962962963,0.7978862444534087,0.7978862444534086,0.8037743241478386,0.7962962962962963
6,60,factuals_only,contriever,-,20,81,81,0,0.8148148148148148,0.8157841423513066,0.8157841423513067,0.8210932625194086,0.8148148148148148
6,60,factuals_only,contriever,-,20,81,81,0,0.8240740740740741,0.8248542660307366,0.8248542660307366,0.8283991228070176,0.8240740740740741
7,70,factuals_only,contriever,-,20,91,91,0,0.8240740740740741,0.8257367274395139,0.8257367274395138,0.830787037037037,0.8240740740740741
7,70,factuals_only,contriever,-,20,91,91,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
8,80,factuals_only,contriever,-,20,101,101,0,0.8148148148148148,0.8181106026386665,0.8181106026386665,0.8277009728622632,0.8148148148148149
8,80,factuals_only,contriever,-,20,101,101,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
9,90,factuals_only,contriever,-,20,111,111,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
9,90,factuals_only,contriever,-,20,111,111,0,0.8240740740740741,0.8266765020496364,0.8266765020496364,0.8346373517498616,0.8240740740740741
10,100,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
10,100,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
11,110,factuals_only,contriever,-,20,121,121,0,0.8425925925925926,0.8435363935363935,0.8435363935363935,0.8453445705767687,0.8425925925925926
11,110,factuals_only,contriever,-,20,121,121,0,0.8333333333333334,0.8346698872785829,0.8346698872785829,0.837930587930588,0.8333333333333334
1,10,full,contriever,mixed,20,35,31,4,0.7962962962962963,0.7985540932683376,0.7985540932683374,0.8053545480964835,0.7962962962962963
2,20,full,contriever,mixed,20,51,41,10,0.7870370370370371,0.7914156721430746,0.7914156721430745,0.8043558508674788,0.7870370370370371
3,30,full,contriever,mixed,20,65,51,14,0.8148148148148148,0.8185425685425685,0.8185425685425685,0.8325014854426619,0.8148148148148149
4,40,full,contriever,mixed,20,81,61,20,0.8333333333333334,0.8358198997439503,0.8358198997439503,0.8491861950161871,0.8333333333333334
5,50,full,contriever,mixed,20,95,71,24,0.7962962962962963,0.7991431519689676,0.7991431519689677,0.8105204872646733,0.7962962962962964
6,60,full,contriever,mixed,20,112,81,31,0.7962962962962963,0.8000416684627211,0.8000416684627211,0.8103801169590644,0.7962962962962963
7,70,full,contriever,mixed,20,127,91,36,0.7962962962962963,0.79952317976123,0.79952317976123,0.810195195857788,0.7962962962962964
8,80,full,contriever,mixed,20,145,101,44,0.7962962962962963,0.7991431519689676,0.7991431519689677,0.8105204872646733,0.7962962962962964
9,90,full,contriever,mixed,20,164,111,53,0.7870370370370371,0.7905844155844156,0.7905844155844156,0.8040106951871658,0.7870370370370371
10,100,full,contriever,mixed,20,180,121,59,0.7962962962962963,0.7993719219332321,0.7993719219332321,0.8070982272595176,0.7962962962962963
11,110,full,contriever,mixed,20,180,121,59,0.7962962962962963,0.7978272390037096,0.7978272390037097,0.8020833333333334,0.7962962962962963
1,10,full,contriever,factual_anchored,20,35,31,4,0.7962962962962963,0.7985540932683376,0.7985540932683374,0.8053545480964835,0.7962962962962963
2,20,full,contriever,factual_anchored,20,51,41,10,0.7870370370370371,0.7914156721430746,0.7914156721430745,0.8043558508674788,0.7870370370370371
3,30,full,contriever,factual_anchored,20,65,51,14,0.8148148148148148,0.8185425685425685,0.8185425685425685,0.8325014854426619,0.8148148148148149
4,40,full,contriever,factual_anchored,20,81,61,20,0.8333333333333334,0.8358198997439503,0.8358198997439503,0.8491861950161871,0.8333333333333334
5,50,full,contriever,factual_anchored,20,95,71,24,0.7870370370370371,0.7894216731770133,0.7894216731770132,0.7963455390874746,0.7870370370370371
6,60,full,contriever,factual_anchored,20,112,81,31,0.7870370370370371,0.7899385953117296,0.7899385953117296,0.7972080739483115,0.7870370370370371
7,70,full,contriever,factual_anchored,20,127,91,36,0.7962962962962963,0.79952317976123,0.79952317976123,0.810195195857788,0.7962962962962964
8,80,full,contriever,factual_anchored,20,145,101,44,0.7870370370370371,0.7905844155844156,0.7905844155844156,0.8040106951871658,0.7870370370370371
9,90,full,contriever,factual_anchored,20,164,111,53,0.7870370370370371,0.7905844155844156,0.7905844155844156,0.8040106951871658,0.7870370370370371
10,100,full,contriever,factual_anchored,20,180,121,59,0.7870370370370371,0.7893974393410331,0.7893974393410332,0.7945758258258259,0.7870370370370371
11,110,full,contriever,factual_anchored,20,180,121,59,0.7962962962962963,0.7978272390037096,0.7978272390037097,0.8020833333333334,0.7962962962962963
1,10,factuals_only,bge_large,-,20,31,31,0,0.7870370370370371,0.7883967549639191,0.7883967549639193,0.7941027092130657,0.7870370370370371
1,10,factuals_only,bge_large,-,20,31,31,0,0.8055555555555556,0.8077215971952815,0.8077215971952815,0.8163742690058479,0.8055555555555555
2,20,factuals_only,bge_large,-,20,41,41,0,0.8240740740740741,0.8248542660307366,0.8248542660307366,0.8283991228070176,0.8240740740740741
2,20,factuals_only,bge_large,-,20,41,41,0,0.8148148148148148,0.8157841423513066,0.8157841423513067,0.8210932625194086,0.8148148148148148
3,30,factuals_only,bge_large,-,20,51,51,0,0.7962962962962963,0.7978862444534087,0.7978862444534086,0.8037743241478386,0.7962962962962963
3,30,factuals_only,bge_large,-,20,51,51,0,0.7962962962962963,0.7978862444534087,0.7978862444534086,0.8037743241478386,0.7962962962962963
4,40,factuals_only,bge_large,-,20,61,61,0,0.8055555555555556,0.8055295908317665,0.8055295908317666,0.8084141834141834,0.8055555555555555
4,40,factuals_only,bge_large,-,20,61,61,0,0.7962962962962963,0.7957165861513689,0.7957165861513688,0.7970732970732971,0.7962962962962963
5,50,factuals_only,bge_large,-,20,71,71,0,0.7777777777777778,0.780902419447311,0.7809024194473111,0.7872685185185185,0.7777777777777778
5,50,factuals_only,bge_large,-,20,71,71,0,0.7777777777777778,0.7799883465555107,0.7799883465555107,0.7864553857762685,0.7777777777777778
6,60,factuals_only,bge_large,-,20,81,81,0,0.7777777777777778,0.7783413848631241,0.778341384863124,0.7808210308210309,0.7777777777777777
6,60,factuals_only,bge_large,-,20,81,81,0,0.7777777777777778,0.7783413848631241,0.778341384863124,0.7808210308210309,0.7777777777777777
7,70,factuals_only,bge_large,-,20,91,91,0,0.8148148148148148,0.8157443157443157,0.8157443157443157,0.8175094599243207,0.8148148148148149
7,70,factuals_only,bge_large,-,20,91,91,0,0.8055555555555556,0.8060432610886016,0.8060432610886016,0.8067353067353067,0.8055555555555557
