iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
8,80,factuals_only,bm25,-,20,110,110,0,0.505,0.4380125269018103,0.5098508803591671,0.44518292682926836,0.4546511563701498
8,80,factuals_only,bm25,-,20,110,110,0,0.505,0.450747780852576,0.5102839147726413,0.45817881330467153,0.46130381743457555
9,90,factuals_only,bm25,-,20,120,120,0,0.52,0.47728967168911574,0.5247726555170037,0.48082944410053813,0.48745775727137985
9,90,factuals_only,bm25,-,20,120,120,0,0.52,0.47877966976264186,0.5242111713106294,0.48488045770654464,0.4878803400976138
10,100,factuals_only,bm25,-,20,130,130,0,0.505,0.4503870935799576,0.5113267139791912,0.4684772531994754,0.45628004936218475
10,100,factuals_only,bm25,-,20,130,130,0,0.495,0.4338700311441637,0.4993727577285289,0.4543797914627035,0.4370040119996024
11,110,factuals_only,bm25,-,20,130,130,0,0.52,0.46330869963963495,0.5255757097915371,0.479408017103013,0.4688509697843266
11,110,factuals_only,bm25,-,20,130,130,0,0.515,0.4556818820128173,0.5190516671674945,0.4683680984658403,0.4637516675835751
1,10,full,bm25,mixed,20,47,40,7,0.525,0.4853705701829434,0.5285146192892135,0.4915598290598291,0.4928888652468038
2,20,full,bm25,mixed,20,63,50,13,0.515,0.47107835179982366,0.5227554686042077,0.47907534246575345,0.4749934012141144
3,30,full,bm25,mixed,20,82,60,22,0.555,0.5050473598990038,0.5619864940815222,0.5116623654123654,0.5138321556619759
4,40,full,bm25,mixed,20,98,70,28,0.535,0.4802258603325238,0.5413635033611243,0.49470955664964616,0.48526923124183313
5,50,full,bm25,mixed,20,115,80,35,0.52,0.4668103107212868,0.5263069676987918,0.48184581824932704,0.4716368861943134
6,60,full,bm25,mixed,20,132,90,42,0.52,0.4476848746689525,0.5240568141830227,0.468958261192977,0.44664726071449173
7,70,full,bm25,mixed,20,149,100,49,0.52,0.477046255103809,0.5256540569742009,0.49644914756025865,0.48015414172776677
8,80,full,bm25,mixed,20,166,110,56,0.52,0.46152163333314916,0.521505314851871,0.47199479264696653,0.46172640026080947
9,90,full,bm25,mixed,20,179,120,59,0.525,0.4751304836631121,0.5301960122166989,0.48689922743674147,0.4784606801796736
10,100,full,bm25,mixed,20,198,130,68,0.54,0.4875780990394682,0.5442122756789979,0.5025323352358235,0.49699185576834987
11,110,full,bm25,mixed,20,198,130,68,0.535,0.4841649082103158,0.5402864588685022,0.49507277746408174,0.4911381649666919
1,10,full,bm25,factual_anchored,20,47,40,7,0.52,0.47883479789304545,0.5263331241921493,0.48440627005844394,0.49523328127408434
2,20,full,bm25,factual_anchored,20,63,50,13,0.52,0.482834458318058,0.5291767915291885,0.4999128186628187,0.4826623608519425
